介绍,总价/万元,元/平方米,地铁距离,描述,主键
"五环大楼,2室0厅,71.61平  ",380,53065,距离2号线江苏路站698米,长宁 中山公园 |中层/21层 |朝南北 |1993年建,sh4255643
"众众德尚世嘉,2室1厅,80.75平  ",435,53869,距离5号线颛桥站738米,闵行 颛桥 |中层/6层 |朝南北 |2008年建,sh4217268
"高桥二村,3室0厅,51.98平  ",205,39438,距离6号线港城路站928米,浦东 外高桥 |中层/6层 |朝南北,sh4214652
"翡翠公寓,2室2厅,135.06平  ",800,59232,距离10号线水城路站457米,长宁 古北 |低层/4层 |朝南 |1992年建,sh4261347
"番禺大厦,2室0厅,60.84平  ",400,65746,距离11号线交通大学站742米,长宁 新华路 |中层/29层 |朝东 |1999年建,sh4249379
"上海壹街区,2室2厅,118.5平  ",1030,86919,距离13号线自然博物馆站348米,静安 南京西路 |低层/28层 |朝南北 |2003年建,sh4237897
"泰祥楼,2室2厅,104.5平  ",580,55502,距离6号线临沂新村站408米,浦东 南码头 |中层/4层 |朝南,sh4200078
"梅园六街坊,2室0厅,47.72平  ",508,106454,距离2号线世纪大道站721米,浦东 源深 |低层/6层 |朝南 |1992年建,sh4199152
"大唐盛世花园,4室2厅,181.51平  ",1520,83741,距离7号线龙阳路站490米,浦东 花木 |中层/18层 |朝 |2004年建,sh4156211
"香花桥路20弄,2室0厅,44.41平  ",313,70479,距离3号线虹桥路站847米,长宁 新华路 |高层/6层 |朝南 |1981年建,sh4152505
"恒昌花园,3室2厅,134.43平  ",600,44632,距离4号线东安路站594米,徐汇 徐家汇 |中层/26层 |朝南北 |1997年建,sh3911836
"涵乐园,1室2厅,68.47平  ",590,86169,距离6号线源深体育中心站153米,浦东 源深 |低层/24层 |朝东 |1999年建,sh3834890
"晶采名人大厦,3室2厅,141.82平  ",1099,77492,距离11号线交通大学站520米,长宁 新华路 |低层/28层 |朝东南 |2000年建,sh4253666
"邮电新村,2室0厅,44.81平  ",230,51327,距离10号线邮电新村站283米,虹口 曲阳 |中层/3层 |朝南北 |1953年建,sh4212684
"浦江名邸,2室2厅,134.49平  ",1080,80303,距离4号线临平路站673米,虹口 临平路 |中层/31层 |朝南 |2004年建,sh4161565
"名都城（公寓）,3室2厅,136.33平  ",760,55747,距离10号线水城路站975米,闵行 金虹桥 |低层/17层 |1997年建,sh4242344
"妙境三村,3室2厅,130.16平  ",415,31883,距离2号线川沙站679米,浦东 川沙 |高层/6层 |朝南北 |1996年建,sh4239430
"曹杨九村,2室1厅,46.93平  ",240,51139,距离3号线金沙江路站810米,普陀 曹杨 |高层/6层 |朝南北 |1976年建,sh4206902
"金鹏花园,3室2厅,99.86平  ",620,62086,距离12号线江浦公园站284米,杨浦 周家嘴路 |高层/24层 |朝南北,sh4380175
"天乐新村,2室1厅,76.0平  ",260,34210,距离9号线松江体育中心站917米,松江 松江新城 |低层/6层 |朝 |1998年建,sh4362646
"梅园六街坊,2室0厅,47.72平  ",508,106454,距离2号线世纪大道站721米,浦东 源深 |低层/6层 |朝南 |1992年建,sh4199152
"香花桥路20弄,2室0厅,44.41平  ",313,70479,距离3号线虹桥路站847米,长宁 新华路 |高层/6层 |朝南 |1981年建,sh4152505
"邮电新村,2室0厅,44.81平  ",230,51327,距离10号线邮电新村站283米,虹口 曲阳 |中层/3层 |朝南北 |1953年建,sh4212684
"曹杨九村,2室1厅,46.93平  ",240,51139,距离3号线金沙江路站810米,普陀 曹杨 |高层/6层 |朝南北 |1976年建,sh4206902
"博山小区,1室0厅,39.77平  ",235,59089,距离6号线北洋泾路站795米,浦东 洋泾 |高层/6层 |朝南 |1987年建,sh4278639
"潍坊三村,1室0厅,34.84平  ",260,74626,距离9号线商城路站848米,浦东 潍坊 |中层/5层 |1983年建,sh4265510
"密云路471弄,1室1厅,40.83平  ",315,77149,距离8号线曲阳路站881米,虹口 曲阳 |高层/6层 |朝南北 |1985年建,sh4250181
"柿子湾小区,2室0厅,46.47平  ",480,103292,距离3号线宜山路站332米,徐汇 徐家汇 |中层/6层 |朝南北 |1991年建,sh4209173
"裕德路66弄,1室0厅,28.72平  ",405,141016,距离1号线上海体育馆站295米,徐汇 徐家汇 |低层/7层 |朝北 |1994年建,sh4151943
"国定路600弄,2室1厅,49.91平  ",315,63113,距离10号线三门路站902米,杨浦 五角场 |中层/6层 |朝南北 |1985年建,sh4309485
"鞍山四村第一小区,1室0厅,36.33平  ",246,67712,距离8号线鞍山新村站437米,杨浦 鞍山 |中层/6层 |朝南 |1985年建,sh4265203
"保德路1010弄,1室1厅,47.43平  ",245,51655,距离1号线共康路站537米,闸北 彭浦 |中层/6层 |朝南 |1992年建,sh4264879
"浣纱三村,1室1厅,45.45平  ",245,53905,距离8号线翔殷路站614米,杨浦 黄兴公园 |高层/6层 |朝南 |1995年建,sh4256220
"密云路471弄,1室0厅,40.1平  ",275,68578,距离8号线曲阳路站881米,虹口 曲阳 |高层/6层 |1984年建,sh4239967
"中华小区,2室0厅,47.67平  ",320,67128,距离3号线虹桥路站414米,长宁 新华路 |高层/7层 |朝南 |1996年建,sh4233273
"通河二村,1室1厅,41.95平  ",192,45768,距离1号线通河新村站855米,宝山 通河 |高层/6层 |1988年建,sh4250821
"碧林湾南苑（华友路150弄）,2室1厅,44.58平  ",350,78510,距离12号线七莘路站783米,闵行 七宝 |高层/5层 |朝南北,sh4377965
"日晖六村,1室0厅,31.73平  ",208,65553,距离4号线大木桥路站242米,徐汇 斜土路 |高层/5层 |朝南,sh4228743
"德州七村,1室1厅,41.74平  ",230,55103,距离7号线长清路站924米,浦东 世博 |低层/6层 |朝南北 |1992年建,sh4294506
"北茶园,1室1厅,44.74平  ",290,64818,距离10号线国权路站662米,杨浦 五角场 |高层/6层 |朝南 |1998年建,sh4278223
"长隆住宅小区,3室1厅,75.01平  ",440,58658,距离12号线隆昌路站362米,杨浦 周家嘴路 |高层/6层 |朝南北 |1987年建,sh4195526
"香楠小区,2室2厅,85.83平  ",440,51264,距离2号线广兰路站948米,浦东 张江 |高层/6层 |朝南北 |1995年建,sh4169405
"连波路228弄,3室1厅,72.85平  ",430,59025,距离7号线芳华路站366米,浦东 北蔡 |低层/6层 |朝南 |1996年建,sh4150719
"东一小区,2室1厅,70.69平  ",320,45268,距离6号线五莲路站767米,浦东 金桥 |高层/6层 |朝南 |1996年建,sh4150417
"玉兰花苑,2室2厅,118.59平  ",850,71675,距离1号线上海体育馆站425米,徐汇 徐家汇 |低层/25层 |朝东 |1992年建,sh4076172
"新江湾佳苑,2室2厅,96.91平  ",630,65008,距离10号线三门路站611米,杨浦 五角场 |高层/7层 |朝南北 |1997年建,sh4067602
"香山新村东北街坊,2室1厅,60.91平  ",360,59103,距离6号线德平路站754米,浦东 金杨 |低层/6层 |朝南北 |1995年建,sh3891634
"新领地,2室2厅,105.73平  ",535,50600,距离16号线龙阳路站664米,浦东 花木 |高层/29层 |朝南 |2002年建,sh3889664
"东旺名苑,4室3厅,76.8平  ",650,84635,距离6号线上南路站913米,浦东 三林 |高层/6层 |朝南 |2010年建,sh3135411
"龙柏二村,3室1厅,82.33平  ",450,54658,距离10号线龙柏新村站969米,闵行 龙柏 |高层/6层 |朝南北 |1994年建,sh1149178
"绿柳苑,3室2厅,118.01平  ",720,61011,距离7号线大华三路站741米,闸北 大宁 |中层/6层 |朝南北 |2002年建,sh4369876
"红柿苑,2室2厅,86.25平  ",440,51014,距离11号线三林东站696米,浦东 三林 |高层/10层 |朝南北 |1999年建,sh4349084
"园西小区,2室1厅,54.82平  ",250,45603,距离2号线川沙站372米,浦东 川沙 |中层/5层 |朝南北,sh4346038
"林绿家园,1室1厅,58.21平  ",410,70434,距离10号线国权路站275米,杨浦 五角场 |低层/16层 |朝南 |2007年建,sh4323779
"联洋年华,2室2厅,113.38平  ",985,86875,距离9号线杨高中路站587米,浦东 联洋 |低层/21层 |朝南北 |2004年建,sh4310871
"水岸金桥苑,2室2厅,76.16平  ",375,49238,距离13号线金运路站683米,嘉定 江桥 |中层/13层 |朝南 |2008年建,sh4307044
"嘉宝都市港湾,2室2厅,108.0平  ",610,56481,距离13号线丰庄站350米,嘉定 丰庄 |高层/13层 |朝南北 |2008年建,sh4304737
"菊泉新城（陆翔路358弄）,3室2厅,101.67平  ",430,42293,距离7号线顾村公园站455米,宝山 顾村 |中层/14层 |朝南北,sh4304418
"中星恬园,2室2厅,104.33平  ",950,91057,距离9号线杨高中路站183米,浦东 洋泾 |低层/18层 |朝南北 |2009年建,sh4279046
"第五大道,3室2厅,151.12平  ",1350,89332,距离6号线民生路站502米,浦东 洋泾 |高层/13层 |朝南北 |2003年建,sh4276712
"高桥二村,3室0厅,51.98平  ",205,39438,距离6号线港城路站928米,浦东 外高桥 |中层/6层 |朝南北,sh4214652
